languageCode,glottocode,family_name,classification
tzn,tugu1245,Austronesian,Austronesian/Malayo-Polynesian/Timor-Babar/Wetar-Atauro/Wetar/Perai-Tugun-Aputai/Tugun
tuj,tugu1246,North Halmahera,North Halmahera/Northern North Halmahera/Mainland North Halmaheran/Tobelo-Tugutil/Tugutil
khc,tuka1248,Austronesian,Austronesian/Malayo-Polynesian/Celebic/Greater Eastern Celebic/Eastern Celebic/Southeastern Celebic/Muna-Buton/Tukangbesi-Bonerate/Tukang Besi/Tukang Besi North
bhq,tuka1249,Austronesian,Austronesian/Malayo-Polynesian/Celebic/Greater Eastern Celebic/Eastern Celebic/Southeastern Celebic/Muna-Buton/Tukangbesi-Bonerate/Tukang Besi/Tukang Besi South
bag,tuki1240,Atlantic-Congo,Atlantic-Congo/Volta-Congo/Benue-Congo/Bantoid/Southern Bantoid/Narrow Bantu/Mbam-Bubi/Mbam/Nuclear Mbam/Sanaga-West Mbam (A.40)/Sanaga (A.60)/Tuki
tkf,tuku1240,Unattested,Unattested/Tupian (Unattested)/Tukumanféd
tkd,tuku1254,Austronesian,Austronesian/Malayo-Polynesian/Central Timor/Kemak-Tukudede/Tukudede
tul,tula1252,Atlantic-Congo,Atlantic-Congo/Volta-Congo/North Volta-Congo/Gur/Central Gur/Tula-Longuda/Tula-Waja/Tulaic/Tula-Ma-Yebu/Nuclear Tulaic/Tula
tlu,tule1244,Austronesian,Austronesian/Malayo-Polynesian/Nunusaku/Piru Bay/East Piru Bay/Solehua/Seram Straits/Ambonic/Northeast Ambon/Tulehu
tey,tuli1249,Kadugli-Krongo,Kadugli-Krongo/Central-Western Kadugli-Krongo/Tulishi
tcy,tulu1258,Dravidian,Dravidian/South Dravidian/South Dravidian I/South-Western Dravidian/Tuluic/Tulu
rak,tulu1259,Austronesian,Austronesian/Malayo-Polynesian/Eastern Malayo-Polynesian/Oceanic/Admiralty Islands/Eastern Admiralty Islands/Manus/West Manus/West Manus II/Tulu-Bohuai
krt,tuma1248,Saharan,Saharan/Western Saharan/Kanuri-Kanembu/Kanuric/East Kanuri/Tumari Kanuri
iou,tuma1250,Nuclear Trans New Guinea,Nuclear Trans New Guinea/Finisterre-Huon/Finisterre-Saruwaged/Wantoatic/Tuma-Irumu
tmc,tuma1260,Afro-Asiatic,Afro-Asiatic/Chadic/East Chadic/East Chadic A/East Chadic A.1/Sumrayic/Ndam-Tumak/Tumak
tum,tumb1250,Atlantic-Congo,Atlantic-Congo/Volta-Congo/Benue-Congo/Bantoid/Southern Bantoid/Narrow Bantu/East Bantu/Tumbuka-Sena-Nyanja/Tumbukic/Tumbuka
kku,tumi1238,Unattested,Unattested/Atlantic-Congo (Unattested)/Tumi
tmq,tuml1238,Austronesian,Austronesian/Malayo-Polynesian/Eastern Malayo-Polynesian/Oceanic/Western Oceanic linkage/North New Guinea linkage/Schouten linkage/Siau/Sissano-Tumleo/Ali-Tumleo/Tumleo
xtq,tums1237,Indo-European,Indo-European/Classical Indo-European/Indo-Iranian/Iranian-Nuristani/Iranian/Saka-Wakhi/Saka/Tumshuqese
tbr,tumt1243,Kadugli-Krongo,Kadugli-Krongo/Central-Western Kadugli-Krongo/Krongo-Tumtum/Tumtum
sil,tumu1242,Atlantic-Congo,Atlantic-Congo/Volta-Congo/North Volta-Congo/Gur/Central Gur/Southern Central Gur/Grusi/East-West Grusi/Western Grusi/Sisaala-Chakali/Sisaala/Tumulung Sisaala
mzb,tumz1238,Afro-Asiatic,Afro-Asiatic/Berber/Greater Zenatic/Zenatic/Northern Saharan Oasis Berber/Tumzabt
enh,tund1254,Uralic,Uralic/Samoyedic/Enets-Nenets/Enets/Tundra Enets
baz,tune1241,Bookkeeping,Bookkeeping/Tunen (Retired)
tvu,tune1261,Atlantic-Congo,Atlantic-Congo/Volta-Congo/Benue-Congo/Bantoid/Southern Bantoid/Narrow Bantu/Mbam-Bubi/Mbam/Nuclear Mbam/Sanaga-West Mbam (A.40)/West Mbam (A.40)/Mandi-Nyokon/Tunen
lcm,tung1290,Austronesian,Austronesian/Malayo-Polynesian/Eastern Malayo-Polynesian/Oceanic/Western Oceanic linkage/Meso Melanesian linkage/New Ireland-Northwest Solomonic linkage/Tungak-Nalik/Tungag
trt,tung1293,Geelvink Bay,Geelvink Bay/Burate-Wate/Tunggare
tse,tuni1249,Sign Language,Sign Language/L1 Sign Language/LSFic/Italian Sign/Tunisian Sign Language
tug,tuni1251,Atlantic-Congo,Atlantic-Congo/Volta-Congo/North Volta-Congo/Bua-Kim-Day/Adamawa Bua/Riverine Bua/Tunia
tun,tuni1252,Isolate,Tunica
aeb,tuni1259,Afro-Asiatic,Afro-Asiatic/Semitic/West Semitic/Central Semitic/Arabian/Arabic/North African Arabic/Western Middle Arabic/Maghrebi/Malta-Tunisian Arabic/Tunisian Arabic
tjg,tunj1244,Austronesian,Austronesian/Malayo-Polynesian/Basap-Greater Barito/Greater Barito linkage/Barito-Mahakam/Tunjung
tqq,tunn1238,Afro-Asiatic,Afro-Asiatic/Cushitic/East Cushitic/Lowland East Cushitic/Southern Lowland East Cushitic/Mainstream Lowland East Cushitic/Omo-Tana/Eastern Omo-Tana/Dabarre-Tunni/Tunni
dza,tunz1235,Atlantic-Congo,Atlantic-Congo/Volta-Congo/Benue-Congo/Kainji/Central Kainji/Basa-Eastern Kainji/Eastern Kainji/Jos/Northern Jos/North-Central Jos/Tunzu
ttf,tuot1238,Atlantic-Congo,Atlantic-Congo/Volta-Congo/Benue-Congo/Bantoid/Southern Bantoid/Narrow Bantu/Mbam-Bubi/Mbam/Nuclear Mbam/Sanaga-West Mbam (A.40)/West Mbam (A.40)/Tuotomb
tpr,tupa1250,Tupian,Tupian/Arikem-Tupari/Tuparic/Nuclear Tuparic/Wayoro-Tupari/Tuparí
tpn,tupi1273,Tupian,Tupian/Eastern Tupian/Maweti-Guarani/Aweti-Guarani/Tupi-Guarani/Southern Tupi-Guarani/Tupi-Guarani Subgroup III/Tupinambá
tui,tupu1244,Atlantic-Congo,Atlantic-Congo/Volta-Congo/North Volta-Congo/Cameroun-Ubangian/Mbumic/Northern Mbum/Tupuri-Mundang-Mambai/Tupuri
trh,tura1265,Dagan,Dagan/Turaka
trd,turi1246,Austroasiatic,Austroasiatic/Mundaic/North Munda/Kherwarian/Mundaric/Turi
twt,turi1247,Tupian,Tupian/Eastern Tupian/Maweti-Guarani/Aweti-Guarani/Tupi-Guarani/Tupi-Guarani Subgroup IV/Tupi-Guarani Subgroup IV.B/Turiwára
tsm,turk1288,Sign Language,Sign Language/L1 Sign Language/Turkish Sign Language
klj,turk1303,Turkic,Turkic/Common Turkic/Khalaj Turkic
tuk,turk1304,Turkic,Turkic/Common Turkic/Oghuz/Nuclear Oghuz/East Oghuz/Turkmen
tuz,turk1306,Atlantic-Congo,Atlantic-Congo/Volta-Congo/North Volta-Congo/Gur/Central Gur/Southern Central Gur/Kirma-Tyurama/Turka
tuv,turk1308,Nilotic,Nilotic/Eastern Nilotic/Teso-Lotuxo-Maa/Teso-Turkana/Turkanic/Turkana
tch,turk1310,Indo-European,Indo-European/Classical Indo-European/Germanic/Northwest Germanic/West Germanic/North Sea Germanic/Anglo-Frisian/Anglic/Later Anglic/Middle-Modern English/Macro-English/Guinea Coast Creole English/Caribbean English Creole/Eastern Caribbean Creole/Gullah-Nevis-Antigua/Gullah/Bahamian Gullah/Turks And Caicos Creole English
tru,turo1239,Afro-Asiatic,Afro-Asiatic/Semitic/West Semitic/Central Semitic/Northwest Semitic/Aramaic/Imperial-Middle-Modern Aramaic/Middle-Modern Aramaic/Eastern Aramaic/Central Eastern Aramaic/Turoyo-Mlahso/Turoyo
try,turu1249,Tai-Kadai,Tai-Kadai/Kam-Tai/Daic-Beic/Daic/Central-Southwestern Tai/Wenma-Southwestern Tai/Sapa-Southwestern Tai/Southwestern Tai/Southwestern Tai P/Shanic/Sukaphic/Unclassified Sukaphic/Turung
tqm,turu1250,Doso-Turumsa,Doso-Turumsa/Turumsa
tus,tusc1257,Iroquoian,Iroquoian/Northern Iroquoian/Tuscarora-Nottoway/Tuscarora
tta,tute1247,Siouan,Siouan/Ohio Valley Siouan/Tutelo
ttg,tuto1241,Austronesian,Austronesian/Malayo-Polynesian/North Borneo Malayo-Polynesian/North Sarawakan/Berawan-Lower Baram/Lower Baram/Central Lower Baram A/Tutong
ttx,tuto1242,Bookkeeping,Bookkeeping/Tutong 1
tvt,tuts1235,Sino-Tibetan,Sino-Tibetan/Brahmaputran/Patkaian/North Patkaian/Noctean/Tutsic/Tutsa Naga
tmi,tutu1241,Austronesian,Austronesian/Malayo-Polynesian/Eastern Malayo-Polynesian/Oceanic/North and Central Vanuatu/Northern Vanuatu/Espiritu Santo/Nuclear Santo/East Santo/Mafea-Tutuba/Tutuba
tuu,tutu1242,Athabaskan-Eyak-Tlingit,Athabaskan-Eyak-Tlingit/Athabaskan-Eyak/Athabaskan/Pacific Coast Athabaskan/Oregon Athabaskan/Rogue River/Tututni
mtu,tutu1243,Otomanguean,Otomanguean/Eastern Otomanguean/Amuzgo-Mixtecan/Mixtecan/Mixtec-Cuicatec/Mixtec/Coast Mixtec/East Coast Mixtec/Tututepec Mixtec
