languageCode,glottocode,family_name,classification
aiw,aari1239,South Omotic,South Omotic/AHK/Aari-Gayil/Aari
aay,aari1240,Bookkeeping,Bookkeeping/Aariya
aas,aasa1238,Afro-Asiatic,Afro-Asiatic/Cushitic/South Cushitic/Aasax
kbt,abad1241,Austronesian,Austronesian/Malayo-Polynesian/Eastern Malayo-Polynesian/Oceanic/Western Oceanic linkage/Papuan Tip linkage/Peripheral Papuan Tip linkage/Central Papuan Oceanic/West Central Papuan linkage/Abadi
abg,abag1245,Nuclear Trans New Guinea,Nuclear Trans New Guinea/Kainantu-Goroka/Goroka/Nuclear Goroka/Siane-Yagaria/Kamano-Yagaria/Unclassified Kamano-Yagaria/Abaga
abf,abai1240,Austronesian,Austronesian/Malayo-Polynesian/North Borneo Malayo-Polynesian/Sabahan/Southwest Sabahan/Greater Dusunic/Paitanic/Abai Sungai
abm,aban1242,Atlantic-Congo,Atlantic-Congo/Volta-Congo/Benue-Congo/Bantoid/Southern Bantoid/Ekoid-Mbe/Ekoid/Bakor-Ejagham/Bakor/Northern Bakor/Abanyom-Nkem-Nkum/Abanyom
mij,abar1238,Atlantic-Congo,Atlantic-Congo/Volta-Congo/Benue-Congo/Bantoid/Southern Bantoid/Yemne-Kimbi/Mungbam
aau,abau1245,Sepik,Sepik/Abau
abq,abaz1241,Abkhaz-Adyge,Abkhaz-Adyge/Abkhaz-Abaza/Abaza
aba,abee1242,Atlantic-Congo,Atlantic-Congo/Volta-Congo/Kwa Volta-Congo/Nyo/Agneby/Abé
abp,aben1249,Austronesian,Austronesian/Malayo-Polynesian/Central Luzon/Sambalic/Abellen-Botolan/Abenlen Ayta
abi,abid1235,Atlantic-Congo,Atlantic-Congo/Volta-Congo/Kwa Volta-Congo/Nyo/Agneby/Abidji
bsa,abin1243,Isolate,Abinomn
axb,abip1241,Guaicuruan,Guaicuruan/Guaicuru del Sur/Abipon
ash,abis1238,Isolate,Aewa
abk,abkh1244,Abkhaz-Adyge,Abkhaz-Adyge/Abkhaz-Abaza/Abkhaz
aob,abom1238,Anim,Anim/Tirio/Abom
abo,abon1238,Atlantic-Congo,Atlantic-Congo/Volta-Congo/Benue-Congo/Bantoid/Southern Bantoid/Tivoid/North Tivoid/Abon
abr,abro1238,Atlantic-Congo,Atlantic-Congo/Volta-Congo/Kwa Volta-Congo/Nyo/Potou-Tano/Tano/Central Tano/Akanic/Abron
abn,abua1244,Atlantic-Congo,Atlantic-Congo/Volta-Congo/Benue-Congo/Delta Cross/Central Delta/Abua-Odual/Abua
aah,abua1245,Nuclear Torricelli,Nuclear Torricelli/Kombio-Arapesh-Urat/Arapesh/Mufian-Bukiyip-Abu/Bukiyip-Abu/Abu' Arapesh
abz,abui1241,Timor-Alor-Pantar,Timor-Alor-Pantar/Alor-Pantar/Nuclear Alor-Pantar/Central Alor/Abuic/Abui
kgr,abun1252,Isolate,Abun
abu,abur1243,Atlantic-Congo,Atlantic-Congo/Volta-Congo/Kwa Volta-Congo/Nyo/Potou-Tano/Tano/Western Tano/Abure
mgj,abur1244,Atlantic-Congo,Atlantic-Congo/Volta-Congo/Benue-Congo/Delta Cross/Central Delta/Unclassified Central Delta/Abureni
ado,abuu1241,Ramu,Ramu/Agoan/Abu
tpx,acat1239,Otomanguean,Otomanguean/Western Otomanguean/Subtiaba-Tlapanec/Mephaa/North-Central Mephaa/West-Central Mephaa/Acatepec Me'phaa
acn,acha1249,Sino-Tibetan,Sino-Tibetan/Burmo-Qiangic/Lolo-Burmese/Burmish/Southern Burmish/Achangic/Longchuan Achang
aca,acha1250,Arawakan,Arawakan/Japura-Colombia/Nuclear Japura-Colombia/Northeast Japura-Colombia/Piapoco-Achagua/Achagua
yif,ache1244,Sino-Tibetan,Sino-Tibetan/Burmo-Qiangic/Lolo-Burmese/Loloish/Ni-Li-Kazhouish/Southeastern Ngwi/Nisoid/Unclassified Nisoid/Ache
acz,ache1245,Narrow Talodi,Narrow Talodi/Buram-Saraf/Acheron-Tocho/Acheron
guq,ache1246,Tupian,Tupian/Eastern Tupian/Maweti-Guarani/Aweti-Guarani/Tupi-Guarani/Southern Tupi-Guarani/Tupi-Guarani Subgroup I/Aché
acr,achi1256,Mayan,Mayan/Core Mayan/Quichean-Mamean/Greater Quichean/Core Quichean/Quiche-Achi/Achi
ace,achi1257,Austronesian,Austronesian/Malayo-Polynesian/Malayo-Chamic/Aceh-Chamic/Acehnese
acc,achi1258,Bookkeeping,"Bookkeeping/Achi', Cubulco"
acv,achu1247,Palaihnihan,Palaihnihan/Achumawi
acu,achu1248,Chicham,Chicham/Shuaric/Achuar-Shiwiar
ach,acol1236,Nilotic,Nilotic/Western Nilotic/Lwoo/Southern Lwoo/Acoli
acs,acro1239,Nuclear-Macro-Je,Nuclear-Macro-Je/Je/Cerrado/Central Je/Acroá
adb,adab1235,Bookkeeping,Bookkeeping/Adabe
xad,adai1235,Isolate,Adai
ads,adam1238,Sign Language,Sign Language/L1 Sign Language/Adamorobe Sign Language
fub,adam1253,Atlantic-Congo,Atlantic-Congo/North-Central Atlantic/Fula-Sereer/Fula/Eastern Fula/Adamawa-Bagirmi Fulfulde/Adamawa Fulfulde
ada,adan1247,Atlantic-Congo,Atlantic-Congo/Volta-Congo/Kwa Volta-Congo/Ga-Dangme/Adangme
adq,adan1248,Atlantic-Congo,Atlantic-Congo/Volta-Congo/Kwa Volta-Congo/Gbe/Western Gbe/Eweic/Adangbe
adn,adan1251,Timor-Alor-Pantar,Timor-Alor-Pantar/Alor-Pantar/Nuclear Alor-Pantar/West Alor-Straits-Pantar/West Alor/Adang
adp,adap1234,Bookkeeping,Bookkeeping/Adap
tiu,adas1235,Austronesian,Austronesian/Malayo-Polynesian/Northern Luzon/Cagayan Valley/Ibanagic/Adasen
ade,adel1244,Atlantic-Congo,Atlantic-Congo/Volta-Congo/Kwa Volta-Congo/Na-Togo/Basila-Adele/Adele
adh,adho1243,Nilotic,Nilotic/Western Nilotic/Lwoo/Southern Lwoo/Adhola-Alur-Luo/Adhola-Luo/Adhola
adj,adio1239,Atlantic-Congo,Atlantic-Congo/Volta-Congo/Kwa Volta-Congo/Nyo/Agneby/Adioukrou
ort,adiv1239,Indo-European,Indo-European/Classical Indo-European/Indo-Iranian/Indo-Aryan/Middle-Modern Indo-Aryan/Continental Indo-Aryan/Indo-Aryan Eastern zone/Oriya-Gauda-Kamrupa/Macro-Oriya/Kotia-Adivasi Oriya-Desiya
gas,adiw1235,Indo-European,Indo-European/Classical Indo-European/Indo-Iranian/Indo-Aryan/Middle-Modern Indo-Aryan/Continental Indo-Aryan/Midlands Indo-Aryan/Bhil/Garasia Bhil/Adiwasi Garasia
adt,adny1235,Pama-Nyungan,Pama-Nyungan/Arandic-Thura-Yura/Thura-Yura/Core Thura Yura/Northern Thura-Yura/Adnyamathanha
adr,adon1237,Austronesian,Austronesian/Malayo-Polynesian/Bima-Lembata/Flores/Flores-Lembata/Lamaholot Barat/North Lembata-Adonara/Adonara
adu,adug1238,Bookkeeping,Bookkeeping/Aduge
ady,adyg1241,Abkhaz-Adyge,Abkhaz-Adyge/Circassian/West Circassian
adz,adze1240,Austronesian,Austronesian/Malayo-Polynesian/Eastern Malayo-Polynesian/Oceanic/Western Oceanic linkage/North New Guinea linkage/Huon Gulf/Markham/Upper Markham/Adzera
azr,adze1241,Bookkeeping,Bookkeeping/Adzera (Retired)
aez,aeka1244,Nuclear Trans New Guinea,Nuclear Trans New Guinea/Greater Binanderean/Binanderean/Nuclear Binanderean/South Binanderean/Orokaivic/Aeka
awi,aeky1238,Kamula-Elevala,Kamula-Elevala/Elevala/Aekyom
aeq,aerr1238,Indo-European,Indo-European/Classical Indo-European/Indo-Iranian/Indo-Aryan/Middle-Modern Indo-Aryan/Continental Indo-Aryan/Midlands Indo-Aryan/Apabhramsic/Gujarati-Rajasthani/Gujaratic/Western Gujaratic/Aer
aal,afad1236,Afro-Asiatic,Afro-Asiatic/Chadic/Biu-Mandara/North Biu-Mandara/Kotoko-Buduma/Kotoko Septentrional/Kotoko Septentrional 1/Afade
aar,afar1241,Afro-Asiatic,Afro-Asiatic/Cushitic/East Cushitic/Lowland East Cushitic/Saho-Afar/Afar
afg,afgh1239,Sign Language,Sign Language/L1 Sign Language/Afghan Sign Language
aft,afit1238,Nyimang,Nyimang/Afitti
afr,afri1274,Indo-European,Indo-European/Classical Indo-European/Germanic/Northwest Germanic/West Germanic/Macro-Dutch/Middle-Modern Dutch/Modern Dutch/Global Dutch/Afrikaansic/Afrikaans
afh,afri1275,Artificial Language,Artificial Language/Afrihili
afs,afro1254,Indo-European,Indo-European/Classical Indo-European/Germanic/Northwest Germanic/West Germanic/North Sea Germanic/Anglo-Frisian/Anglic/Later Anglic/Middle-Modern English/Macro-English/Guinea Coast Creole English/Caribbean English Creole/Eastern Caribbean Creole/Gullah-Nevis-Antigua/Gullah/Afro-Seminole Creole
agi,agar1251,Unattested,Unattested/Dravidian (Unattested)/Agariya
agd,agar1252,Nuclear Trans New Guinea,Nuclear Trans New Guinea/Kainantu-Goroka/Kainantu/Gauwa/Gadsup-Agarabi/Agarabi
agc,agat1236,Atlantic-Congo,Atlantic-Congo/Volta-Congo/Benue-Congo/Idomoid/Akweya/Etulo-Idoma/Nuclear Idoma/Idoma-Agatu-Okpogu/Agatu
avo,agav1236,Unattested,Unattested/Arawakan (Unattested)/Agavotaguerra
agq,aghe1239,Atlantic-Congo,Atlantic-Congo/Volta-Congo/Benue-Congo/Bantoid/Southern Bantoid/Wide Grassfields/Narrow Grassfields/Ring/Center-West Ring/West Ring/Aghemic/Aghem-Weh/Aghem
agx,aghu1253,Nakh-Daghestanian,Nakh-Daghestanian/Daghestanian/Lezgic/Samur/Eastern Samur/Tabasaran-Aghul-Lezgi/Aghul-Lezgi/Aghulic/Aghul
ggr,aghu1254,Pama-Nyungan,Pama-Nyungan/Paman/Alaya-Athima/Thaypanic/Aghu Tharnggalu
ahh,aghu1255,Nuclear Trans New Guinea,Nuclear Trans New Guinea/Asmat-Awyu-Ok/Awyu-Ok/Greater Awyu/Awyu-Dumut/Awyu/Mappi-Digul Awyu/Aghu
gtu,aghu1256,Bookkeeping,Bookkeeping/Aghu Tharnggalu (Retired)
xag,aghw1237,Nakh-Daghestanian,Nakh-Daghestanian/Daghestanian/Lezgic/Samur/Eastern Samur/Udi-Aghwan/Aghwan
aif,agii1245,Nuclear Torricelli,Nuclear Torricelli/Wapei-Palei/West Palai/Agi-Yeri/Agi
kit,agob1244,Pahoturi,Pahoturi/Agob-Ende-Kawam
ibm,agoi1246,Atlantic-Congo,Atlantic-Congo/Volta-Congo/Benue-Congo/Delta Cross/Upper Cross/Agoi-Doko-Iyoniyong/Robambami
apf,agta1234,Austronesian,Austronesian/Malayo-Polynesian/Northern Luzon/Northeastern Luzon/Nuclear Northeastern Luzon/Paranan-Pahanan/Agta-Pahanan
aga,agua1251,Unattested,Unattested/Arawakan (Unattested)/Aguano
agu,agua1252,Mayan,Mayan/Core Mayan/Quichean-Mamean/Greater Mamean/Ixilan/Aguacateco
agr,agua1253,Chicham,Chicham/Aguaruna
aug,agun1238,Atlantic-Congo,Atlantic-Congo/Volta-Congo/Kwa Volta-Congo/Gbe/Western Gbe/Eweic/Aguna
msm,agus1235,Austronesian,Austronesian/Malayo-Polynesian/Greater Central Philippine/Manobo/Central and Southern Manobo/East-West-Central Manobo/East and Central Manobo/East Manobo/Agusan Manobo
agn,agut1237,Austronesian,Austronesian/Malayo-Polynesian/Greater Central Philippine/Palawanic-Kalamian/Kalamian/Agutaynen
yay,agwa1247,Atlantic-Congo,Atlantic-Congo/Volta-Congo/Benue-Congo/Delta Cross/Upper Cross/Central Upper Cross/North-South Central Delta Cross/Ubaghara-Kohumono/Kohumonoic/Agwagwune
aha,ahan1243,Atlantic-Congo,Atlantic-Congo/Volta-Congo/Kwa Volta-Congo/Nyo/Potou-Tano/Tano/Central Tano/Bia/Southern Bia/Ahanta
ahn,ahan1244,Atlantic-Congo,Atlantic-Congo/Volta-Congo/Benue-Congo/Defoid/Ayere-Ahan/Àhàn
ahe,ahea1240,Bookkeeping,Bookkeeping/Ahe
esg,aher1237,Dravidian,Dravidian/South Dravidian/South Dravidian II/Gondi/Northwest Gondi/Southwest Gondi/Southern Gondi/Eastern Gondi/Aheri Gondi
thm,aheu1239,Austroasiatic,Austroasiatic/Vietic/Chutic/Thavung
kak,ahin1234,Austronesian,Austronesian/Malayo-Polynesian/Northern Luzon/Meso-Cordilleran/South-Central Cordilleran/Southern Cordilleran/West Southern Cordilleran/Nuclear Southern Cordilleran/Kalanguya/Ahin-Kayapa Kalanguya
ahr,ahir1243,Bookkeeping,Bookkeeping/Ahirani
aho,ahom1240,Tai-Kadai,Tai-Kadai/Kam-Tai/Daic-Beic/Daic/Central-Southwestern Tai/Wenma-Southwestern Tai/Sapa-Southwestern Tai/Southwestern Tai/Southwestern Tai P/Shanic/Sukaphic/Ahom
aht,ahte1237,Athabaskan-Eyak-Tlingit,Athabaskan-Eyak-Tlingit/Athabaskan-Eyak/Athabaskan/Southern Alaskan Athabaskan/Ahtena
nfd,ahwa1235,Atlantic-Congo,Atlantic-Congo/Volta-Congo/Benue-Congo/Benue-Congo Plateau/Ndunic
aih,aich1238,Tai-Kadai,Tai-Kadai/Kam-Tai/Kam-Sui/Then-MMS/Maonan-Mak-Sui/Mak-Ai-Cham/Ai-Cham
aix,aigh1235,Austronesian,Austronesian/Malayo-Polynesian/Eastern Malayo-Polynesian/Oceanic/Western Oceanic linkage/North New Guinea linkage/Ngero-Vitiaz linkage/Vitiaz linkage/Southwest New Britain linkage/Arawe-Pasismanua/Pasismanua/Aighon
tba,aika1237,Isolate,Aikanã
mwg,aikl1237,Austronesian,Austronesian/Malayo-Polynesian/Eastern Malayo-Polynesian/Oceanic/Western Oceanic linkage/North New Guinea linkage/Ngero-Vitiaz linkage/Vitiaz linkage/Southwest New Britain linkage/Arawe-Pasismanua/Arawe/West Arawe/Aiklep
mzf,aiku1240,Bookkeeping,Bookkeeping/Aiku
aiq,aima1241,Indo-European,Indo-European/Classical Indo-European/Indo-Iranian/Iranian-Nuristani/Iranian/Southwestern Iranian/Middle-Modern Persian/Modern Southwestern Iranian/Farsic-Caucasian Tat/Farsic/Eastern Farsic/Aimaq
ail,aime1238,Bosavi,Bosavi/Bosavi Watershed/Aimele
aim,aimo1244,Sino-Tibetan,Sino-Tibetan/Kuki-Chin-Naga/Kuki-Chin/Northwestern Kuki-Chin/Central Old Kuki/Aimol
aic,ainb1238,Border,Border/Bewani/Pagi-Kilmeri/Ainbai
ain,ainu1240,Ainu,Ainu/Hokkaido-Kuril Ainu/Hokkaido Ainu
aib,ainu1251,Turkic,Turkic/Common Turkic/Kipchak-Turkestan/Turkestan/Modern Turkestan/Uyghuric/Ainu (China)
aki,aiom1240,Ramu,Ramu/Aian/Aiome
air,airo1242,Greater Kwerba,Greater Kwerba/Kwerba-Samarokena/Samarokena-Airoran/Airoran
aio,aito1238,Tai-Kadai,Tai-Kadai/Kam-Tai/Daic-Beic/Daic/Central-Southwestern Tai/Wenma-Southwestern Tai/Sapa-Southwestern Tai/Southwestern Tai/Southwestern Tai P/Shanic/Sukaphic/Mogaung/Assam Tai A/Aiton
ajg,ajab1235,Atlantic-Congo,Atlantic-Congo/Volta-Congo/Kwa Volta-Congo/Gbe/Aja (Benin)
aja,ajas1235,Kresh-Aja,Kresh-Aja/Aja (South Sudan)
ajw,ajaw1236,Afro-Asiatic,Afro-Asiatic/Chadic/West Chadic/West Chadic B/West Chadic B.2/Nuclear West Chadic B.2/Western West Chadic B.2/Ajawa
aji,ajie1238,Austronesian,Austronesian/Malayo-Polynesian/Eastern Malayo-Polynesian/Oceanic/Southern Melanesian/New Caledonian/Mainland New Caledonian/Southern New Caledonian/Mid-Southern New Caledonian/Houailou/Ajië
cpc,ajyi1238,Arawakan,Arawakan/Southern Maipuran/Kampa-Amuesha/Pre-Andine Maipuran/Asha-Ashe-Kak-Matsi-Nan/Asha-Ashe-Kak/Ashe-Asha/Ashe-Asha Norte/Ajyíninka Apurucayali
soh,akaa1242,Eastern Jebel,Eastern Jebel/Aka-Kelo-Molo/Aka
akm,akab1248,Great Andamanese,Great Andamanese/North Andamanese-Akakede/Northern Great Andamanese/Bo-Cari/Akabo
abj,akab1249,Great Andamanese,Great Andamanese/South Great Andamanese/Akabea
aci,akac1240,Great Andamanese,Great Andamanese/North Andamanese-Akakede/Northern Great Andamanese/Bo-Cari/Akacari
akj,akaj1239,Great Andamanese,Great Andamanese/North Andamanese-Akakede/Northern Great Andamanese/Jeru-Kora/Akajeru
ack,akak1251,Great Andamanese,Great Andamanese/North Andamanese-Akakede/Northern Great Andamanese/Jeru-Kora/Akakora
akx,akak1252,Great Andamanese,Great Andamanese/North Andamanese-Akakede/Akakede
aky,akak1253,Great Andamanese,Great Andamanese/Middle Great Andamanese/Okol-Opucikwar/Akakol
aka,akan1250,Atlantic-Congo,Atlantic-Congo/Volta-Congo/Kwa Volta-Congo/Nyo/Potou-Tano/Tano/Central Tano/Akanic/Akan
acl,akar1243,Great Andamanese,Great Andamanese/South Great Andamanese/Akarbale
aks,akas1242,Atlantic-Congo,Atlantic-Congo/Volta-Congo/North Volta-Congo/Gur/Central Gur/Northern Central Gur/Bwamu-Oti-Volta/Oti-Volta/Nuclear Oti-Volta/Gurma-Yom-Oti-Volta Occidental/Gurma-Yom-Naudem/Gurma/Gurma A/Akaselem
ake,akaw1239,Cariban,Cariban/Venezuelan Cariban/Pemong-Panare/Pemongan/Kapong/Akawaio-Ingariko
keu,akeb1238,Atlantic-Congo,Atlantic-Congo/Volta-Congo/Kwa Volta-Congo/Ka-Togo/Kebu-Animere/Akebu
aik,akee1238,Atlantic-Congo,Atlantic-Congo/Volta-Congo/Benue-Congo/Benue-Congo Plateau/Jilic-Eggonic/Eggon-Ake/Akye
tsr,akei1237,Austronesian,Austronesian/Malayo-Polynesian/Eastern Malayo-Polynesian/Oceanic/North and Central Vanuatu/Northern Vanuatu/Espiritu Santo/West Santo/Southwest Santo/Akei
aeu,akeu1235,Sino-Tibetan,Sino-Tibetan/Burmo-Qiangic/Lolo-Burmese/Loloish/Hani-Jino/Bisoid-Hanic/Hanic/Ha-Ya/Akhaic/Akeuic/Akeu
ahk,akha1245,Sino-Tibetan,Sino-Tibetan/Burmo-Qiangic/Lolo-Burmese/Loloish/Hani-Jino/Bisoid-Hanic/Hanic/Ha-Ya/Akhaic/Akha
akv,akhv1239,Nakh-Daghestanian,Nakh-Daghestanian/Daghestanian/Avar-Andic-Tsezic/Andic/Akhvakhic/Northern Akhvakh
sia,akka1237,Uralic,Uralic/Saami/Eastern Saami/Mainland Eastern Saami/Akkala Saami
akk,akka1240,Afro-Asiatic,Afro-Asiatic/Semitic/East Semitic/Akkadian
akq,akkk1240,Sepik,Sepik/Yellow River/Ak
akl,akla1240,Austronesian,Austronesian/Malayo-Polynesian/Greater Central Philippine/Central Philippine/Bisayan/West Bisayan/Aklanon
akt,akol1237,Austronesian,Austronesian/Malayo-Polynesian/Eastern Malayo-Polynesian/Oceanic/Western Oceanic linkage/North New Guinea linkage/Ngero-Vitiaz linkage/Vitiaz linkage/Southwest New Britain linkage/Arawe-Pasismanua/Arawe/East Arawe/Akolet
bss,akoo1248,Atlantic-Congo,Atlantic-Congo/Volta-Congo/Benue-Congo/Bantoid/Southern Bantoid/Narrow Bantu/Bantu A-B10-B20-B30/Lundu-Balong (A.10)/Greater Manenguba/Bafaw-Balong-Manenguba/Manenguba/Central Manenguba/Akoose
miw,akoy1238,Angan,Angan/Nuclear Angan/Ankave-Tainae-Akoye/Tainae-Akoye/Akoye
akf,akpa1238,Atlantic-Congo,Atlantic-Congo/Volta-Congo/Benue-Congo/Idomoid/Yatye-Akpa/Akpa
ibe,akpe1248,Atlantic-Congo,Atlantic-Congo/Volta-Congo/Benue-Congo/Akpes-Edoid/Akpes
afi,akru1241,Ramu,Ramu/Goam/Tamolan/Chini
ayk,akuk1235,Atlantic-Congo,Atlantic-Congo/Volta-Congo/Benue-Congo/Akpes-Edoid/Edoid/Northwestern Edoid/Southern Northwestern Edoid/Okpe-Akuku-Idesa/Akuku
aku,akum1238,Atlantic-Congo,Atlantic-Congo/Volta-Congo/Benue-Congo/Benue-Congo Plateau/Yukubenic/Akum-Beezen/Akum
aqz,akun1241,Tupian,Tupian/Arikem-Tupari/Tuparic/Nuclear Tuparic/Corumbiara/Akuntsu
ako,akur1238,Cariban,Cariban/Guianan/Taranoan/Tiriyoan/Akurio
akw,akwa1248,Atlantic-Congo,Atlantic-Congo/Volta-Congo/Benue-Congo/Bantoid/Southern Bantoid/Narrow Bantu/Central-Western Bantu/North Zaire River/Rivers Bantu/Mboshi (C.20)/Akwa
nqy,akya1234,Bookkeeping,Bookkeeping/Pending Report Release/Akyaung Ari Naga
akz,alab1237,Muskogean,Muskogean/Alabaman-Koasati/Alabama
dul,alab1246,Austronesian,Austronesian/Malayo-Polynesian/Greater Central Philippine/Central Philippine/Alabat-Manide Agta/Alabat Island Agta
alw,alab1254,Afro-Asiatic,Afro-Asiatic/Cushitic/East Cushitic/Highland East Cushitic/Sidaama-Hadiyya-Kambaata/Hadiyya-Kambaata/Kambaataic/Alaba-K'abeena
mim,alac1244,Otomanguean,Otomanguean/Eastern Otomanguean/Amuzgo-Mixtecan/Mixtecan/Mixtec-Cuicatec/Mixtec/Guerrero Mixtec/Nuclear Guerrero Mixtec/Alacatlatzala Mixtec
ala,alag1242,Atlantic-Congo,Atlantic-Congo/Volta-Congo/Benue-Congo/Idomoid/Akweya/Etulo-Idoma/Nuclear Idoma/Alago
wbj,alag1248,Afro-Asiatic,Afro-Asiatic/Cushitic/South Cushitic/Greater West Rift South Cushitic/West Rift South Cushitic/Northern West Rift South Cushitic/Alagwa
alk,alak1253,Austroasiatic,Austroasiatic/Bahnaric/West Bahnaric/Alak
amp,alam1246,Sepik,Sepik/Sepik Hill/Central-Eastern Sepik Hill/Eastern Sepik Hill/Alamblak
alj,alan1249,Austronesian,Austronesian/Malayo-Polynesian/North Mangyan/Alangan
apv,alap1235,Unattested,Unattested/Nambiquaran (Unattested)/Alapmunte
alh,alaw1244,Mangarrayi-Maran,Mangarrayi-Maran/Maran/Alawa
bhk,alba1269,Austronesian,Austronesian/Malayo-Polynesian/Greater Central Philippine/Central Philippine/Bikol/Inland Bikol/Inland-Buhi-Daraga Bikol
sqk,alba1271,Sign Language,Sign Language/L1 Sign Language/Albanian Sign Language
lsc,alba1273,Sign Language,Sign Language/L1 Sign Language/Albarradas Sign Language
xta,alco1235,Otomanguean,Otomanguean/Eastern Otomanguean/Amuzgo-Mixtecan/Mixtecan/Mixtec-Cuicatec/Mixtec/Guerrero Mixtec/Nuclear Guerrero Mixtec/Alcozauca Mixtec
alf,aleg1238,Atlantic-Congo,Atlantic-Congo/Volta-Congo/Benue-Congo/Bantoid/Southern Bantoid/Bendic/Nuclear Bendic/Bukpic/Alege
gah,alek1238,Nuclear Trans New Guinea,Nuclear Trans New Guinea/Kainantu-Goroka/Goroka/Nuclear Goroka/Gahuku/Alekano
ale,aleu1260,Eskimo-Aleut,Eskimo-Aleut/Aleutic/Aleut
asp,alge1235,Sign Language,Sign Language/L1 Sign Language/LSFic/Algerian Sign Language
arq,alge1239,Afro-Asiatic,Afro-Asiatic/Semitic/West Semitic/Central Semitic/Arabian/Arabic/North African Arabic/Western Middle Arabic/Maghrebi/Algerian Arabic
aao,alge1240,Afro-Asiatic,Afro-Asiatic/Semitic/West Semitic/Central Semitic/Arabian/Arabic/North African Arabic/Western Middle Arabic/Maghrebi/Algerian Saharan Arabic
alq,algo1255,Algic,Algic/Algonquian-Blackfoot/Algonquian/Eastern Great Lakes Algonquian/Ojibwa-Potawatomi/Ojibwa/Severn-Algonquin/Algonquin
aiy,alii1240,Atlantic-Congo,Atlantic-Congo/Volta-Congo/North Volta-Congo/Gbaya-Manza-Ngbaka/Gbaya Oriental/Gbanu-Manza-Ngbaka/Manza-Ngbaka/Manzaic/Ngbaka-Manza-Ali/Ali
all,alla1247,Dravidian,Dravidian/South Dravidian/South Dravidian I/Tamil-Kannada/Tamil-Kota/Tamil-Toda/Tamil-Irula/Tamil-Kodagu/Tamil-Malayalam/Malayalamoid/Allar
ald,alla1248,Atlantic-Congo,Atlantic-Congo/Volta-Congo/Kwa Volta-Congo/Nyo/Avikam-Alladian/Alladian
aid,alng1239,Pama-Nyungan,Pama-Nyungan/Paman/Northern Pama/Linngithigh-Alngith/Alngith
zaq,aloa1235,Otomanguean,Otomanguean/Eastern Otomanguean/Popoloca-Zapotecan/Zapotecan/Zapotec/Core Zapotec/Narrow Core Zapotec/Northern Core Zapotec/Sierra Juarezic/Aloápam Zapotec
ypo,alop1235,Sino-Tibetan,Sino-Tibetan/Burmo-Qiangic/Lolo-Burmese/Loloish/Ni-Li-Kazhouish/Southeastern Ngwi/Riverine Phula/Upriver Riverine Phula/Pholic/Alo Phola
aol,alor1247,Austronesian,Austronesian/Malayo-Polynesian/Bima-Lembata/Flores/Flores-Lembata/Lamaholot Barat/Alorese
syy,alsa1242,Sign Language,Sign Language/L1 Sign Language/Al-Sayyid Bedouin Sign Language
aes,alse1251,Isolate,Alsea-Yaquina
aub,alug1235,Sino-Tibetan,Sino-Tibetan/Burmo-Qiangic/Lolo-Burmese/Loloish/Ni-Li-Kazhouish/Southeastern Ngwi/Riverine Phula/Downriver Riverine Phula/Phupha-Alugu/Alugu
xua,aluk1238,Dravidian,Dravidian/South Dravidian/South Dravidian I/Tamil-Kannada/Badaga-Kannada/Kannadoid/Alu Kurumba
aab,alum1246,Atlantic-Congo,Atlantic-Congo/Volta-Congo/Benue-Congo/Benue-Congo Plateau/Alumic/Alumu-Akpondu/Arum
alp,alun1238,Austronesian,Austronesian/Malayo-Polynesian/Nunusaku/Three Rivers/Amalumute/Northwest Seram/Ulat Inai/Alune
yna,aluo1235,Sino-Tibetan,Sino-Tibetan/Burmo-Qiangic/Lolo-Burmese/Loloish/Ni-Li-Kazhouish/Southeastern Ngwi/Nisoid/Nuclear Nisoid/Unclassified Nuclear Nisoid/Aluo
alz,alur1250,Nilotic,Nilotic/Western Nilotic/Lwoo/Southern Lwoo/Adhola-Alur-Luo/Alur
alr,alut1245,Chukotko-Kamchatkan,Chukotko-Kamchatkan/Chukotian/Alutor
avd,alvi1241,Indo-European,Indo-European/Classical Indo-European/Indo-Iranian/Iranian-Nuristani/Iranian/Central Iranian PBS/Central Iranian PB/Northwestern Iranian/Adharic/Tatic/Southern Tatic/Alviri-Vidari
aly,alya1239,Pama-Nyungan,Pama-Nyungan/Arandic-Thura-Yura/Arandic/South Arandic/Upper Arrernte/Alyawarr
amq,amah1245,Austronesian,Austronesian/Malayo-Polynesian/Nunusaku/Piru Bay/East Piru Bay/Solehua/Seram Straits/Uliase/Hatuhaha/Saparuan/Elpaputi/Amahai
amc,amah1246,Pano-Tacanan,Pano-Tacanan/Panoan/Mainline Pano/Pano Nawa/Headwaters Pano/Amahuaca
ali,amai1246,Nuclear Trans New Guinea,Nuclear Trans New Guinea/Madang/Croisilles/Amaimon
aad,amal1242,Sepik,Sepik/Amal
jks,amam1247,Sign Language,Sign Language/L1 Sign Language/Amami O Shima Sign Language
amn,aman1265,Border,Border/Warisic/Amanab
ama,aman1266,Tupian,Tupian/Eastern Tupian/Maweti-Guarani/Aweti-Guarani/Tupi-Guarani/Tupi-Guarani Subgroup V/Arawetic/Amanayé
amm,amap1240,Left May,Left May/Western Left May/Ama (Papua New Guinea)
amd,amap1241,Bookkeeping,Bookkeeping/Amapá Creole
amg,amar1271,Iwaidjan Proper,Iwaidjan Proper/Amurdak
